L,E_exact,E_dmrg,time_exact,time_dmrg,abs_error
2,-2.2360679774997907,,0.003573894500732422,,
3,-3.4939592074349344,-3.493959207434933,0.005835294723510742,0.13396024703979492,1.3322676295501878e-15
4,-4.758770483143636,-4.7587704831436355,0.010476112365722656,0.28383755683898926,8.881784197001252e-16
5,-6.02667418333228,-6.026674183332272,0.01903080940246582,0.3957841396331787,7.993605777301127e-15
6,-7.29622981055876,-7.296229810558757,0.024091005325317383,0.549473762512207,2.6645352591003757e-15
7,-8.566772233505628,-8.566772233505626,0.035381317138671875,0.912041425704956,1.7763568394002505e-15
8,-9.837951447459426,-9.837951447459417,0.07112884521484375,1.1794109344482422,8.881784197001252e-15
9,-11.109565585441004,-11.109565585441015,0.07701921463012695,1.4247450828552246,1.0658141036401503e-14
10,-12.38148999965478,-12.381489999654743,0.0915982723236084,1.993272066116333,3.730349362740526e-14
11,-13.65364354358692,-13.653643543586892,0.11407637596130371,2.4285991191864014,2.842170943040401e-14
12,-14.925971109908675,-14.925971109908636,0.1948699951171875,3.6697404384613037,3.907985046680551e-14
13,-16.198433957724337,-16.198433957724326,0.21399593353271484,2.5837862491607666,1.0658141036401503e-14
14,-17.47100405473175,-17.47100405473176,0.32689571380615234,2.9258854389190674,1.0658141036401503e-14
15,-18.743660615328242,-18.74366061532824,0.570382833480835,5.12044882774353,3.552713678800501e-15
16,-20.01638790048515,-20.016387900485167,1.0734646320343018,3.638498306274414,1.7763568394002505e-14
17,-21.289173773472754,-21.28917377347269,2.359078884124756,5.773352146148682,6.394884621840902e-14
18,-22.562008724831653,-22.562008724831713,5.3411760330200195,5.372406005859375,6.039613253960852e-14
19,-23.83488519782948,-23.834885197829447,17.689975261688232,4.98321795463562,3.197442310920451e-14
20,-25.107797111623853,-25.1077971116237,27.564943075180054,6.396571397781372,1.5276668818842154e-13
